run,R,S,T,P,noise,prob_end,repetitions,turns,n_strategies,selected_strategies
11,3.43,0.03,4.2,2.31,0.01,0.08,40,43,16,"Random: 0.5|Meta Winner: 14 players|Suspicious Tit For Tat|Tit For 2 Tats|Anti Tit For Tat|Defector|Evolved HMM 5|Alternator|Evolved FSM 16|Cycler DC|Tit For Tat|Meta Mixer: 14 players|DoubleCrosser: (D, D)|Win-Shift Lose-Stay: D|Grudger|ZD-GTFT-2: 0.25, 0.5"
12,2.66,0.51,4.12,1.08,0.09,0.05,17,131,5,Defector|Bully|Evolved FSM 16|Meta Winner: 4 players|Tit For Tat
13,4.65,1.78,4.81,3.08,0.0,0.01,94,150,21,"ZD-Extort-2: 0.1111111111111111, 0.5|GTFT: 0.33|Win-Shift Lose-Stay: D|Suspicious Tit For Tat|Meta Mixer: 19 players|Tit For Tat|Evolved FSM 16|Evolved HMM 5|Bully|ZD-GTFT-2: 0.25, 0.5|Tit For 2 Tats|Cycler DC|Meta Winner: 19 players|Defector|Anti Tit For Tat|Alternator|Cooperator|Grudger|Soft Joss: 0.9|Random: 0.5|DoubleCrosser: (D, D)"
14,4.57,2.05,4.61,3.88,0.07,0.06,94,27,7,"Win-Shift Lose-Stay: D|Cooperator|Meta Mixer: 5 players|ZD-GTFT-2: 0.25, 0.5|Cycler DC|Meta Winner: 5 players|Win-Stay Lose-Shift"
15,4.3,1.06,5.21,1.67,0.03,0.05,16,24,16,"Win-Shift Lose-Stay: D|Anti Tit For Tat|Alternator|GTFT: 0.33|Cycler DC|Meta Winner: 14 players|Defector|Grudger|Tit For Tat|ZD-Extort-2: 0.1111111111111111, 0.5|Soft Joss: 0.9|Suspicious Tit For Tat|Tit For 2 Tats|Evolved FSM 16|Meta Mixer: 14 players|Win-Stay Lose-Shift"
16,3.86,1.03,4.72,2.91,0.06,0.09,89,192,7,"Tit For Tat|Defector|Meta Mixer: 6 players|DoubleCrosser: (D, D)|Alternator|Evolved FSM 16|GTFT: 0.33"
17,2.98,1.29,4.08,1.4,0.03,0.08,39,58,3,Meta Winner: 2 players|Suspicious Tit For Tat|Tit For 2 Tats
18,4.3,1.17,4.66,4.19,0.06,0.04,78,85,3,Cooperator|Win-Shift Lose-Stay: D|Defector
19,4.12,2.32,4.69,2.36,0.01,0.09,34,66,4,"DoubleCrosser: (D, D)|Alternator|ZD-Extort-2: 0.1111111111111111, 0.5|ZD-GTFT-2: 0.25, 0.5"
20,4.71,2.75,4.86,4.42,0.07,0.01,48,130,12,"Meta Winner: 10 players|DoubleCrosser: (D, D)|GTFT: 0.33|Tit For 2 Tats|Win-Stay Lose-Shift|Cycler DC|Suspicious Tit For Tat|Random: 0.5|Evolved FSM 16|Soft Joss: 0.9|Meta Mixer: 10 players|Bully"
21,3.1,1.45,4.57,2.22,0.05,0.04,37,131,18,"Defector|Bully|Win-Stay Lose-Shift|ZD-Extort-2: 0.1111111111111111, 0.5|GTFT: 0.33|Meta Mixer: 17 players|Tit For Tat|ZD-GTFT-2: 0.25, 0.5|Cycler DC|Cooperator|Tit For 2 Tats|Evolved HMM 5|Alternator|Evolved FSM 16|Grudger|Random: 0.5|DoubleCrosser: (D, D)|Win-Shift Lose-Stay: D"
22,4.58,2.2,4.91,3.06,0.04,0.04,28,168,3,"Cooperator|DoubleCrosser: (D, D)|Tit For Tat"
23,4.12,1.94,4.5,2.42,0.07,0.1,86,82,17,"Evolved FSM 16|ZD-Extort-2: 0.1111111111111111, 0.5|DoubleCrosser: (D, D)|ZD-GTFT-2: 0.25, 0.5|Soft Joss: 0.9|Defector|Random: 0.5|Tit For Tat|Cycler DC|Tit For 2 Tats|Cooperator|GTFT: 0.33|Meta Winner: 15 players|Win-Shift Lose-Stay: D|Evolved HMM 5|Meta Mixer: 15 players|Anti Tit For Tat"
24,3.43,0.31,4.64,1.34,0.07,0.07,18,107,16,"GTFT: 0.33|ZD-GTFT-2: 0.25, 0.5|Soft Joss: 0.9|DoubleCrosser: (D, D)|Anti Tit For Tat|Suspicious Tit For Tat|Evolved HMM 5|ZD-Extort-2: 0.1111111111111111, 0.5|Tit For 2 Tats|Win-Stay Lose-Shift|Grudger|Alternator|Random: 0.5|Evolved FSM 16|Tit For Tat|Meta Winner: 15 players"
25,3.86,0.86,5.8,1.78,0.04,0.07,61,186,8,"Soft Joss: 0.9|Cycler DC|Evolved FSM 16|ZD-GTFT-2: 0.25, 0.5|Alternator|Tit For 2 Tats|Evolved HMM 5|Anti Tit For Tat"
26,4.08,0.9,4.76,3.56,0.01,0.0,79,14,14,"Tit For Tat|Meta Mixer: 12 players|Bully|Anti Tit For Tat|Alternator|Meta Winner: 12 players|Suspicious Tit For Tat|DoubleCrosser: (D, D)|ZD-GTFT-2: 0.25, 0.5|Win-Stay Lose-Shift|Evolved FSM 16|Cooperator|Grudger|ZD-Extort-2: 0.1111111111111111, 0.5"
27,3.88,1.14,5.34,1.63,0.08,0.02,87,192,6,Defector|Win-Stay Lose-Shift|Cooperator|Evolved HMM 5|Alternator|Meta Mixer: 5 players
28,4.86,2.31,5.15,2.45,0.02,0.06,90,63,6,Win-Stay Lose-Shift|Evolved FSM 16|Cooperator|Evolved HMM 5|Anti Tit For Tat|Grudger
29,4.03,0.78,5.07,1.21,0.0,0.04,72,28,16,"Grudger|Meta Mixer: 14 players|Soft Joss: 0.9|Cycler DC|DoubleCrosser: (D, D)|Defector|Win-Shift Lose-Stay: D|Win-Stay Lose-Shift|Tit For 2 Tats|Random: 0.5|Tit For Tat|Meta Winner: 14 players|Suspicious Tit For Tat|Evolved HMM 5|ZD-Extort-2: 0.1111111111111111, 0.5|Evolved FSM 16"
30,4.33,0.87,4.49,1.93,0.08,0.06,95,98,13,"Alternator|Random: 0.5|GTFT: 0.33|Defector|Meta Mixer: 12 players|Suspicious Tit For Tat|Grudger|Tit For 2 Tats|Cycler DC|Evolved HMM 5|DoubleCrosser: (D, D)|Win-Stay Lose-Shift|ZD-GTFT-2: 0.25, 0.5"
31,3.61,0.36,5.11,1.5,0.04,0.06,40,177,18,"Meta Mixer: 16 players|Random: 0.5|Soft Joss: 0.9|Alternator|Bully|Win-Stay Lose-Shift|Tit For Tat|Suspicious Tit For Tat|Grudger|Cooperator|Cycler DC|GTFT: 0.33|ZD-Extort-2: 0.1111111111111111, 0.5|Defector|Meta Winner: 16 players|DoubleCrosser: (D, D)|Evolved FSM 16|ZD-GTFT-2: 0.25, 0.5"
32,4.13,1.43,4.85,2.04,0.03,0.03,25,185,9,"GTFT: 0.33|Cooperator|ZD-GTFT-2: 0.25, 0.5|Defector|Suspicious Tit For Tat|Evolved FSM 16|Random: 0.5|Cycler DC|Grudger"
33,4.42,2.98,5.18,3.04,0.08,0.03,56,46,12,"Alternator|ZD-GTFT-2: 0.25, 0.5|Cycler DC|Win-Shift Lose-Stay: D|Anti Tit For Tat|Meta Mixer: 11 players|Win-Stay Lose-Shift|Grudger|Bully|GTFT: 0.33|Tit For Tat|ZD-Extort-2: 0.1111111111111111, 0.5"
34,4.15,1.09,5.75,2.48,0.02,0.01,71,30,5,Tit For 2 Tats|Random: 0.5|Bully|Evolved HMM 5|Meta Mixer: 4 players
35,2.54,0.77,4.17,1.86,0.06,0.06,76,98,17,"Soft Joss: 0.9|Win-Stay Lose-Shift|Evolved HMM 5|DoubleCrosser: (D, D)|Meta Mixer: 15 players|Anti Tit For Tat|Cooperator|Tit For 2 Tats|Random: 0.5|GTFT: 0.33|Evolved FSM 16|Cycler DC|ZD-Extort-2: 0.1111111111111111, 0.5|Bully|Grudger|ZD-GTFT-2: 0.25, 0.5|Meta Winner: 15 players"
36,4.0,2.97,4.91,3.77,0.06,0.07,35,109,6,"ZD-GTFT-2: 0.25, 0.5|Tit For Tat|Cycler DC|Win-Shift Lose-Stay: D|Evolved FSM 16|Bully"
37,3.68,2.13,4.12,2.59,0.09,0.04,69,177,12,"Tit For 2 Tats|Win-Shift Lose-Stay: D|ZD-Extort-2: 0.1111111111111111, 0.5|ZD-GTFT-2: 0.25, 0.5|Random: 0.5|Soft Joss: 0.9|Bully|Win-Stay Lose-Shift|Alternator|Suspicious Tit For Tat|Grudger|Defector"
38,4.34,1.99,4.87,4.24,0.04,0.03,23,42,13,"DoubleCrosser: (D, D)|Random: 0.5|Win-Stay Lose-Shift|Tit For 2 Tats|ZD-GTFT-2: 0.25, 0.5|Anti Tit For Tat|Soft Joss: 0.9|ZD-Extort-2: 0.1111111111111111, 0.5|Defector|Cycler DC|Meta Winner: 11 players|Meta Mixer: 11 players|Suspicious Tit For Tat"
39,3.33,0.3,5.0,1.12,0.01,0.03,99,125,6,Alternator|Meta Mixer: 5 players|Evolved FSM 16|Tit For Tat|Defector|Win-Stay Lose-Shift
40,3.71,1.24,5.1,1.25,0.09,0.05,25,166,7,"Random: 0.5|Win-Stay Lose-Shift|ZD-Extort-2: 0.1111111111111111, 0.5|Win-Shift Lose-Stay: D|DoubleCrosser: (D, D)|Meta Winner: 6 players|Evolved FSM 16"
41,3.37,1.76,4.49,1.91,0.05,0.09,18,71,16,"GTFT: 0.33|ZD-Extort-2: 0.1111111111111111, 0.5|Win-Shift Lose-Stay: D|Alternator|Win-Stay Lose-Shift|ZD-GTFT-2: 0.25, 0.5|Random: 0.5|DoubleCrosser: (D, D)|Bully|Tit For Tat|Evolved FSM 16|Tit For 2 Tats|Defector|Meta Mixer: 15 players|Suspicious Tit For Tat|Cooperator"
42,4.37,0.76,4.77,2.38,0.05,0.09,58,99,7,"Random: 0.5|Anti Tit For Tat|Cycler DC|ZD-Extort-2: 0.1111111111111111, 0.5|GTFT: 0.33|Cooperator|Soft Joss: 0.9"
43,4.0,0.15,4.2,1.05,0.09,0.1,19,121,11,"GTFT: 0.33|Evolved FSM 16|Tit For 2 Tats|Bully|Meta Winner: 9 players|Meta Mixer: 9 players|ZD-GTFT-2: 0.25, 0.5|Random: 0.5|Grudger|ZD-Extort-2: 0.1111111111111111, 0.5|Tit For Tat"
44,5.83,2.0,5.84,4.61,0.01,0.06,22,114,8,Win-Stay Lose-Shift|Alternator|Anti Tit For Tat|GTFT: 0.33|Evolved FSM 16|Meta Winner: 7 players|Grudger|Defector
45,3.68,0.59,5.37,2.56,0.06,0.05,95,3,17,"Win-Stay Lose-Shift|ZD-GTFT-2: 0.25, 0.5|Defector|Bully|Soft Joss: 0.9|Grudger|Meta Winner: 15 players|GTFT: 0.33|Suspicious Tit For Tat|ZD-Extort-2: 0.1111111111111111, 0.5|Cycler DC|Tit For Tat|Tit For 2 Tats|Cooperator|DoubleCrosser: (D, D)|Meta Mixer: 15 players|Win-Shift Lose-Stay: D"
46,2.84,0.49,4.21,1.66,0.07,0.0,94,102,11,"Alternator|Evolved HMM 5|Anti Tit For Tat|Random: 0.5|Win-Stay Lose-Shift|Tit For Tat|Grudger|Cooperator|GTFT: 0.33|Soft Joss: 0.9|ZD-GTFT-2: 0.25, 0.5"
47,3.89,2.19,4.5,3.22,0.01,0.01,90,166,4,Win-Stay Lose-Shift|Soft Joss: 0.9|Anti Tit For Tat|Evolved HMM 5
48,3.37,0.27,4.73,1.65,0.09,0.09,47,192,13,"Cooperator|Soft Joss: 0.9|Bully|Cycler DC|Tit For Tat|Tit For 2 Tats|Grudger|Anti Tit For Tat|ZD-Extort-2: 0.1111111111111111, 0.5|Suspicious Tit For Tat|Alternator|Evolved HMM 5|Win-Shift Lose-Stay: D"
49,2.83,0.62,4.25,2.37,0.04,0.06,57,28,10,"Random: 0.5|Alternator|Evolved FSM 16|ZD-GTFT-2: 0.25, 0.5|GTFT: 0.33|Tit For Tat|Bully|Evolved HMM 5|DoubleCrosser: (D, D)|ZD-Extort-2: 0.1111111111111111, 0.5"
50,5.3,2.08,5.49,2.8,0.02,0.04,22,126,22,"DoubleCrosser: (D, D)|Win-Shift Lose-Stay: D|Anti Tit For Tat|Grudger|Suspicious Tit For Tat|Soft Joss: 0.9|ZD-Extort-2: 0.1111111111111111, 0.5|Cooperator|Meta Winner: 20 players|Defector|Evolved FSM 16|GTFT: 0.33|Tit For 2 Tats|Meta Mixer: 20 players|Win-Stay Lose-Shift|Alternator|Random: 0.5|Bully|Evolved HMM 5|ZD-GTFT-2: 0.25, 0.5|Tit For Tat|Cycler DC"
51,3.64,0.33,4.14,1.55,0.09,0.03,28,153,3,"Win-Shift Lose-Stay: D|Cycler DC|ZD-GTFT-2: 0.25, 0.5"
52,2.44,0.05,4.5,1.95,0.0,0.08,40,151,13,"Alternator|Defector|Win-Shift Lose-Stay: D|Anti Tit For Tat|Cycler DC|DoubleCrosser: (D, D)|Cooperator|Grudger|Evolved HMM 5|Tit For Tat|Tit For 2 Tats|Meta Mixer: 12 players|Evolved FSM 16"
53,3.44,0.95,5.19,1.54,0.07,0.09,94,134,12,"Soft Joss: 0.9|Meta Mixer: 11 players|Alternator|Anti Tit For Tat|Random: 0.5|Tit For 2 Tats|DoubleCrosser: (D, D)|GTFT: 0.33|Evolved HMM 5|Tit For Tat|Grudger|ZD-Extort-2: 0.1111111111111111, 0.5"
54,2.17,0.11,4.15,1.71,0.03,0.06,80,183,13,"Tit For 2 Tats|Evolved FSM 16|ZD-Extort-2: 0.1111111111111111, 0.5|Win-Stay Lose-Shift|Soft Joss: 0.9|Meta Mixer: 11 players|DoubleCrosser: (D, D)|Anti Tit For Tat|Meta Winner: 11 players|Grudger|ZD-GTFT-2: 0.25, 0.5|GTFT: 0.33|Win-Shift Lose-Stay: D"
55,3.22,0.18,4.68,1.92,0.04,0.07,57,40,18,"Bully|Meta Winner: 16 players|Meta Mixer: 16 players|Evolved FSM 16|DoubleCrosser: (D, D)|Cooperator|Grudger|Tit For 2 Tats|Evolved HMM 5|Win-Shift Lose-Stay: D|Alternator|Win-Stay Lose-Shift|Soft Joss: 0.9|GTFT: 0.33|Defector|Tit For Tat|Random: 0.5|ZD-Extort-2: 0.1111111111111111, 0.5"
56,3.8,2.69,4.71,3.1,0.07,0.1,86,80,14,"Cooperator|Evolved HMM 5|ZD-Extort-2: 0.1111111111111111, 0.5|Suspicious Tit For Tat|Cycler DC|Random: 0.5|Tit For Tat|DoubleCrosser: (D, D)|Anti Tit For Tat|Defector|Win-Shift Lose-Stay: D|Tit For 2 Tats|Soft Joss: 0.9|ZD-GTFT-2: 0.25, 0.5"
57,4.54,3.89,5.15,3.99,0.08,0.06,92,143,3,Evolved FSM 16|Meta Winner: 2 players|Win-Shift Lose-Stay: D
58,3.59,0.32,4.14,3.52,0.05,0.04,68,88,8,"Grudger|Win-Stay Lose-Shift|GTFT: 0.33|Evolved HMM 5|Bully|Anti Tit For Tat|Cycler DC|ZD-GTFT-2: 0.25, 0.5"
59,3.73,0.46,4.85,2.13,0.05,0.03,24,73,21,"Random: 0.5|ZD-Extort-2: 0.1111111111111111, 0.5|Win-Stay Lose-Shift|Anti Tit For Tat|Tit For Tat|Tit For 2 Tats|Evolved HMM 5|Alternator|Cooperator|Cycler DC|DoubleCrosser: (D, D)|Bully|Meta Mixer: 20 players|Evolved FSM 16|Defector|Soft Joss: 0.9|Suspicious Tit For Tat|Grudger|Win-Shift Lose-Stay: D|ZD-GTFT-2: 0.25, 0.5|GTFT: 0.33"
60,3.94,2.06,4.76,2.47,0.08,0.01,15,112,3,Soft Joss: 0.9|Bully|GTFT: 0.33
61,3.81,1.25,5.15,2.99,0.01,0.0,51,44,22,"Soft Joss: 0.9|Grudger|Bully|DoubleCrosser: (D, D)|Cooperator|Tit For Tat|Evolved HMM 5|Win-Stay Lose-Shift|Suspicious Tit For Tat|Win-Shift Lose-Stay: D|Anti Tit For Tat|Random: 0.5|Cycler DC|Defector|ZD-GTFT-2: 0.25, 0.5|Evolved FSM 16|Meta Mixer: 20 players|Alternator|Meta Winner: 20 players|GTFT: 0.33|ZD-Extort-2: 0.1111111111111111, 0.5|Tit For 2 Tats"
62,2.57,0.19,4.21,1.27,0.08,0.01,90,127,17,"Evolved HMM 5|Meta Winner: 15 players|Soft Joss: 0.9|Meta Mixer: 15 players|GTFT: 0.33|ZD-GTFT-2: 0.25, 0.5|Cycler DC|Tit For Tat|Anti Tit For Tat|Evolved FSM 16|Tit For 2 Tats|ZD-Extort-2: 0.1111111111111111, 0.5|Random: 0.5|Win-Stay Lose-Shift|Alternator|Bully|Win-Shift Lose-Stay: D"
63,2.99,0.39,4.15,1.07,0.03,0.06,21,158,22,"ZD-Extort-2: 0.1111111111111111, 0.5|Tit For 2 Tats|Soft Joss: 0.9|Evolved HMM 5|ZD-GTFT-2: 0.25, 0.5|Anti Tit For Tat|Evolved FSM 16|Random: 0.5|Meta Mixer: 20 players|Win-Stay Lose-Shift|GTFT: 0.33|Cooperator|Defector|Tit For Tat|Bully|Alternator|Grudger|Suspicious Tit For Tat|Win-Shift Lose-Stay: D|DoubleCrosser: (D, D)|Cycler DC|Meta Winner: 20 players"
64,3.47,1.81,4.08,3.45,0.06,0.04,46,100,16,"GTFT: 0.33|Evolved FSM 16|Anti Tit For Tat|Meta Winner: 15 players|Bully|Evolved HMM 5|Cooperator|Win-Shift Lose-Stay: D|ZD-Extort-2: 0.1111111111111111, 0.5|Suspicious Tit For Tat|Cycler DC|Grudger|Win-Stay Lose-Shift|ZD-GTFT-2: 0.25, 0.5|Defector|Alternator"
65,4.77,2.6,5.34,3.79,0.05,0.06,64,131,14,"Alternator|Grudger|Win-Stay Lose-Shift|Defector|Suspicious Tit For Tat|GTFT: 0.33|Random: 0.5|Cooperator|Soft Joss: 0.9|Bully|Tit For 2 Tats|Anti Tit For Tat|Cycler DC|ZD-Extort-2: 0.1111111111111111, 0.5"
66,3.63,1.55,5.02,2.94,0.07,0.09,89,34,22,"Tit For 2 Tats|Cycler DC|Defector|Evolved FSM 16|Evolved HMM 5|Soft Joss: 0.9|Anti Tit For Tat|Suspicious Tit For Tat|ZD-GTFT-2: 0.25, 0.5|GTFT: 0.33|Grudger|Cooperator|Tit For Tat|Meta Mixer: 20 players|Win-Stay Lose-Shift|Random: 0.5|Win-Shift Lose-Stay: D|ZD-Extort-2: 0.1111111111111111, 0.5|Bully|DoubleCrosser: (D, D)|Alternator|Meta Winner: 20 players"
67,3.92,1.76,5.36,2.29,0.08,0.05,63,42,9,"Evolved FSM 16|Cycler DC|Win-Shift Lose-Stay: D|Anti Tit For Tat|Random: 0.5|Grudger|Cooperator|ZD-Extort-2: 0.1111111111111111, 0.5|DoubleCrosser: (D, D)"
68,3.49,0.28,4.9,3.07,0.09,0.08,54,7,16,"Anti Tit For Tat|Tit For 2 Tats|ZD-Extort-2: 0.1111111111111111, 0.5|Grudger|Tit For Tat|Meta Mixer: 14 players|Bully|Defector|Cooperator|Alternator|Soft Joss: 0.9|Meta Winner: 14 players|Evolved HMM 5|Random: 0.5|Win-Shift Lose-Stay: D|Evolved FSM 16"
69,4.13,0.44,4.57,3.18,0.07,0.04,10,21,3,Win-Shift Lose-Stay: D|Suspicious Tit For Tat|Cycler DC
70,2.78,0.45,4.58,1.08,0.08,0.05,24,128,22,"ZD-GTFT-2: 0.25, 0.5|Alternator|ZD-Extort-2: 0.1111111111111111, 0.5|Evolved HMM 5|Tit For Tat|Cycler DC|Win-Stay Lose-Shift|Suspicious Tit For Tat|Meta Mixer: 20 players|Random: 0.5|Defector|Cooperator|Tit For 2 Tats|Soft Joss: 0.9|Bully|Grudger|Win-Shift Lose-Stay: D|DoubleCrosser: (D, D)|Meta Winner: 20 players|Evolved FSM 16|GTFT: 0.33|Anti Tit For Tat"
71,2.8,1.03,4.27,1.61,0.08,0.07,99,123,8,Cycler DC|Bully|Soft Joss: 0.9|Anti Tit For Tat|Win-Stay Lose-Shift|Suspicious Tit For Tat|Evolved HMM 5|Tit For 2 Tats
72,4.16,1.36,5.98,1.8,0.02,0.04,16,168,13,"Win-Shift Lose-Stay: D|Cooperator|Grudger|DoubleCrosser: (D, D)|Tit For 2 Tats|Soft Joss: 0.9|ZD-GTFT-2: 0.25, 0.5|Defector|Bully|Tit For Tat|Evolved FSM 16|Random: 0.5|ZD-Extort-2: 0.1111111111111111, 0.5"
73,3.3,1.58,4.16,2.89,0.03,0.01,94,76,12,"Soft Joss: 0.9|Evolved FSM 16|DoubleCrosser: (D, D)|Defector|Meta Winner: 11 players|Grudger|ZD-GTFT-2: 0.25, 0.5|Alternator|ZD-Extort-2: 0.1111111111111111, 0.5|Evolved HMM 5|Win-Stay Lose-Shift|Suspicious Tit For Tat"
74,3.57,1.74,4.77,2.56,0.09,0.04,19,147,7,"ZD-Extort-2: 0.1111111111111111, 0.5|Grudger|Tit For 2 Tats|GTFT: 0.33|Win-Shift Lose-Stay: D|Tit For Tat|Cooperator"
75,3.74,0.63,4.24,2.93,0.06,0.07,72,52,6,Cycler DC|Bully|Soft Joss: 0.9|Defector|Evolved FSM 16|Meta Mixer: 5 players
76,5.5,3.63,5.62,5.44,0.07,0.05,47,77,8,"Meta Mixer: 7 players|Defector|Grudger|ZD-Extort-2: 0.1111111111111111, 0.5|Tit For Tat|Cooperator|Suspicious Tit For Tat|Tit For 2 Tats"
77,3.8,0.59,4.28,1.07,0.04,0.08,80,34,22,"Bully|Meta Winner: 20 players|Win-Stay Lose-Shift|Tit For 2 Tats|Random: 0.5|ZD-Extort-2: 0.1111111111111111, 0.5|DoubleCrosser: (D, D)|Evolved HMM 5|Suspicious Tit For Tat|Evolved FSM 16|Anti Tit For Tat|Meta Mixer: 20 players|Defector|Grudger|Tit For Tat|Cooperator|Soft Joss: 0.9|Cycler DC|GTFT: 0.33|Alternator|ZD-GTFT-2: 0.25, 0.5|Win-Shift Lose-Stay: D"
78,4.53,3.52,4.69,4.16,0.03,0.06,80,71,7,"Meta Mixer: 6 players|Win-Stay Lose-Shift|Evolved FSM 16|ZD-GTFT-2: 0.25, 0.5|Bully|ZD-Extort-2: 0.1111111111111111, 0.5|Defector"
79,3.85,0.93,5.18,1.49,0.09,0.03,82,11,3,Bully|Anti Tit For Tat|Meta Mixer: 2 players
80,3.27,0.4,4.81,2.56,0.04,0.05,53,156,7,GTFT: 0.33|Meta Winner: 6 players|Grudger|Tit For 2 Tats|Cycler DC|Evolved FSM 16|Cooperator
81,3.23,0.4,4.64,1.6,0.01,0.03,59,158,16,Tit For Tat|Defector|GTFT: 0.33|Evolved HMM 5|Evolved FSM 16|Suspicious Tit For Tat|Meta Mixer: 14 players|Meta Winner: 14 players|Win-Shift Lose-Stay: D|Soft Joss: 0.9|Tit For 2 Tats|Cycler DC|Grudger|Alternator|Anti Tit For Tat|Cooperator
82,3.04,1.83,4.1,2.8,0.05,0.05,23,111,7,"Win-Shift Lose-Stay: D|Grudger|Tit For 2 Tats|Meta Mixer: 6 players|Anti Tit For Tat|Evolved FSM 16|ZD-GTFT-2: 0.25, 0.5"
83,4.3,1.9,5.01,1.92,0.07,0.01,22,101,14,"GTFT: 0.33|ZD-GTFT-2: 0.25, 0.5|Grudger|Cycler DC|Suspicious Tit For Tat|ZD-Extort-2: 0.1111111111111111, 0.5|Tit For 2 Tats|Win-Shift Lose-Stay: D|Alternator|DoubleCrosser: (D, D)|Random: 0.5|Bully|Defector|Tit For Tat"
84,4.19,1.34,5.69,2.62,0.05,0.06,70,5,14,"GTFT: 0.33|Cooperator|DoubleCrosser: (D, D)|Evolved HMM 5|Win-Stay Lose-Shift|Alternator|Random: 0.5|Cycler DC|Meta Winner: 12 players|Tit For 2 Tats|ZD-GTFT-2: 0.25, 0.5|Grudger|Meta Mixer: 12 players|ZD-Extort-2: 0.1111111111111111, 0.5"
85,3.59,1.6,4.3,2.06,0.09,0.09,17,181,7,"ZD-Extort-2: 0.1111111111111111, 0.5|Suspicious Tit For Tat|ZD-GTFT-2: 0.25, 0.5|GTFT: 0.33|Random: 0.5|Meta Winner: 6 players|Tit For 2 Tats"
86,4.09,2.08,4.71,3.23,0.07,0.06,34,64,11,"ZD-GTFT-2: 0.25, 0.5|Win-Stay Lose-Shift|Tit For Tat|Meta Mixer: 10 players|Evolved HMM 5|Suspicious Tit For Tat|Random: 0.5|Defector|Evolved FSM 16|Soft Joss: 0.9|Win-Shift Lose-Stay: D"
