run,R,S,T,P,noise,prob_end,repetitions,turns,n_strategies,selected_strategies
11,3,0,5,1,0.07,0.08,78,197,7,"Cycler DC|Random: 0.5|Evolved FSM 16|Defector|Win-Shift Lose-Stay: D|Meta Mixer: 6 players|DoubleCrosser: (D, D)"
12,3,0,5,1,0.06,0.1,79,194,9,"Win-Stay Lose-Shift|Tit For 2 Tats|Grudger|Soft Joss: 0.9|Evolved HMM 5|Anti Tit For Tat|Cooperator|DoubleCrosser: (D, D)|Random: 0.5"
13,3,0,5,1,0.03,0.06,39,151,10,Alternator|Bully|Anti Tit For Tat|Tit For Tat|Meta Mixer: 8 players|Soft Joss: 0.9|Meta Winner: 8 players|Defector|Evolved FSM 16|Win-Shift Lose-Stay: D
14,3,0,5,1,0.02,0.07,37,139,7,Meta Mixer: 5 players|Meta Winner: 5 players|Random: 0.5|Tit For Tat|Evolved FSM 16|Tit For 2 Tats|Suspicious Tit For Tat
15,3,0,5,1,0.02,0.01,65,91,16,"DoubleCrosser: (D, D)|Soft Joss: 0.9|Anti Tit For Tat|Cooperator|Evolved FSM 16|Suspicious Tit For Tat|Grudger|Defector|Random: 0.5|Evolved HMM 5|GTFT: 0.33|Win-Stay Lose-Shift|Tit For Tat|Meta Winner: 14 players|Win-Shift Lose-Stay: D|Meta Mixer: 14 players"
16,3,0,5,1,0.03,0.02,19,114,20,"Cooperator|Anti Tit For Tat|Evolved FSM 16|Alternator|Bully|Soft Joss: 0.9|Tit For 2 Tats|Meta Winner: 18 players|Random: 0.5|Suspicious Tit For Tat|Tit For Tat|Win-Stay Lose-Shift|DoubleCrosser: (D, D)|GTFT: 0.33|Win-Shift Lose-Stay: D|Evolved HMM 5|Meta Mixer: 18 players|Defector|Cycler DC|Grudger"
17,3,0,5,1,0.03,0.08,68,74,16,"Evolved FSM 16|Random: 0.5|Cycler DC|Suspicious Tit For Tat|Win-Stay Lose-Shift|Cooperator|Alternator|Meta Mixer: 14 players|Grudger|Win-Shift Lose-Stay: D|DoubleCrosser: (D, D)|Defector|Tit For 2 Tats|Tit For Tat|Meta Winner: 14 players|Soft Joss: 0.9"
18,3,0,5,1,0.05,0.09,30,15,19,"Bully|Defector|Meta Winner: 17 players|Evolved FSM 16|Tit For Tat|Suspicious Tit For Tat|Anti Tit For Tat|Win-Stay Lose-Shift|Cooperator|Tit For 2 Tats|GTFT: 0.33|Alternator|DoubleCrosser: (D, D)|Grudger|Meta Mixer: 17 players|Cycler DC|Evolved HMM 5|Random: 0.5|Win-Shift Lose-Stay: D"
19,3,0,5,1,0.07,0.03,43,102,7,Win-Stay Lose-Shift|Soft Joss: 0.9|GTFT: 0.33|Bully|Alternator|Tit For Tat|Meta Winner: 6 players
20,3,0,5,1,0.1,0.1,19,138,9,Evolved HMM 5|Win-Shift Lose-Stay: D|Cycler DC|Grudger|Bully|Soft Joss: 0.9|Cooperator|Defector|Evolved FSM 16
21,3,0,5,1,0.02,0.08,100,78,19,"Alternator|Evolved FSM 16|Win-Stay Lose-Shift|Cooperator|Cycler DC|Random: 0.5|Anti Tit For Tat|DoubleCrosser: (D, D)|Grudger|Win-Shift Lose-Stay: D|Bully|Soft Joss: 0.9|GTFT: 0.33|Tit For Tat|Tit For 2 Tats|Meta Mixer: 18 players|Defector|Suspicious Tit For Tat|Evolved HMM 5"
22,3,0,5,1,0.05,0.03,16,24,16,Win-Shift Lose-Stay: D|Anti Tit For Tat|Alternator|GTFT: 0.33|Cycler DC|Evolved HMM 5|Random: 0.5|Bully|Grudger|Tit For Tat|Meta Winner: 14 players|Suspicious Tit For Tat|Evolved FSM 16|Soft Joss: 0.9|Win-Stay Lose-Shift|Meta Mixer: 14 players
23,3,0,5,1,0.05,0.08,84,142,7,"DoubleCrosser: (D, D)|Cycler DC|Anti Tit For Tat|Win-Stay Lose-Shift|Grudger|Soft Joss: 0.9|Tit For 2 Tats"
24,3,0,5,1,0.1,0.0,55,54,10,"Cooperator|Grudger|Evolved FSM 16|DoubleCrosser: (D, D)|Cycler DC|Soft Joss: 0.9|Meta Winner: 9 players|Bully|Tit For 2 Tats|Suspicious Tit For Tat"
25,3,0,5,1,0.0,0.07,52,106,10,"Win-Shift Lose-Stay: D|Defector|Cooperator|Tit For 2 Tats|Anti Tit For Tat|DoubleCrosser: (D, D)|Tit For Tat|Evolved FSM 16|Evolved HMM 5|Soft Joss: 0.9"
26,3,0,5,1,0.03,0.08,39,58,3,Suspicious Tit For Tat|Tit For 2 Tats|GTFT: 0.33
27,3,0,5,1,0.03,0.01,45,90,19,"Tit For 2 Tats|Evolved FSM 16|GTFT: 0.33|Alternator|Cooperator|Soft Joss: 0.9|Cycler DC|Bully|Win-Stay Lose-Shift|DoubleCrosser: (D, D)|Evolved HMM 5|Anti Tit For Tat|Suspicious Tit For Tat|Meta Winner: 17 players|Defector|Tit For Tat|Random: 0.5|Meta Mixer: 17 players|Grudger"
28,3,0,5,1,0.04,0.06,42,12,16,"Alternator|Evolved HMM 5|Evolved FSM 16|Suspicious Tit For Tat|Grudger|Meta Mixer: 15 players|Anti Tit For Tat|GTFT: 0.33|Defector|Win-Stay Lose-Shift|Random: 0.5|DoubleCrosser: (D, D)|Cycler DC|Tit For Tat|Bully|Cooperator"
29,3,0,5,1,0.03,0.07,80,33,9,"DoubleCrosser: (D, D)|Tit For 2 Tats|Defector|Win-Stay Lose-Shift|Meta Mixer: 7 players|Win-Shift Lose-Stay: D|Meta Winner: 7 players|Alternator|Cycler DC"
30,3,0,5,1,0.03,0.04,84,156,13,Soft Joss: 0.9|Meta Winner: 11 players|Meta Mixer: 11 players|Suspicious Tit For Tat|Random: 0.5|Tit For 2 Tats|Evolved FSM 16|Grudger|Bully|GTFT: 0.33|Anti Tit For Tat|Cycler DC|Defector
31,3,0,5,1,0.01,0.1,40,173,12,"Tit For Tat|Suspicious Tit For Tat|Cycler DC|Alternator|Anti Tit For Tat|Cooperator|Meta Winner: 10 players|Win-Stay Lose-Shift|Random: 0.5|DoubleCrosser: (D, D)|Meta Mixer: 10 players|Soft Joss: 0.9"
32,3,0,5,1,0.07,0.04,61,63,7,"Alternator|Cooperator|DoubleCrosser: (D, D)|Tit For Tat|Defector|Tit For 2 Tats|Grudger"
33,3,0,5,1,0.05,0.01,41,32,17,"Cycler DC|Soft Joss: 0.9|Evolved HMM 5|GTFT: 0.33|Meta Mixer: 16 players|Win-Stay Lose-Shift|DoubleCrosser: (D, D)|Grudger|Win-Shift Lose-Stay: D|Suspicious Tit For Tat|Tit For 2 Tats|Tit For Tat|Bully|Defector|Cooperator|Evolved FSM 16|Random: 0.5"
34,3,0,5,1,0.08,0.08,45,197,19,"Random: 0.5|Tit For Tat|Win-Shift Lose-Stay: D|Soft Joss: 0.9|Bully|Grudger|Cycler DC|Cooperator|DoubleCrosser: (D, D)|Defector|GTFT: 0.33|Evolved FSM 16|Anti Tit For Tat|Meta Mixer: 17 players|Suspicious Tit For Tat|Win-Stay Lose-Shift|Tit For 2 Tats|Meta Winner: 17 players|Alternator"
35,3,0,5,1,0.07,0.01,62,85,20,"Soft Joss: 0.9|DoubleCrosser: (D, D)|Anti Tit For Tat|Suspicious Tit For Tat|Meta Mixer: 18 players|Evolved HMM 5|Tit For 2 Tats|Win-Stay Lose-Shift|Grudger|Alternator|Random: 0.5|Meta Winner: 18 players|Tit For Tat|GTFT: 0.33|Bully|Defector|Cooperator|Evolved FSM 16|Win-Shift Lose-Stay: D|Cycler DC"
36,3,0,5,1,0.02,0.04,13,100,13,"Tit For 2 Tats|Defector|Soft Joss: 0.9|Cycler DC|Alternator|Evolved FSM 16|Suspicious Tit For Tat|Win-Stay Lose-Shift|Meta Winner: 12 players|GTFT: 0.33|Random: 0.5|Anti Tit For Tat|DoubleCrosser: (D, D)"
37,3,0,5,1,0.01,0.05,16,67,15,"GTFT: 0.33|Suspicious Tit For Tat|Soft Joss: 0.9|Meta Winner: 13 players|Evolved HMM 5|Tit For 2 Tats|Meta Mixer: 13 players|Cycler DC|DoubleCrosser: (D, D)|Evolved FSM 16|Anti Tit For Tat|Tit For Tat|Alternator|Defector|Random: 0.5"
38,3,0,5,1,0.01,0.1,38,167,5,Anti Tit For Tat|Alternator|Tit For Tat|Suspicious Tit For Tat|Meta Mixer: 4 players
39,3,0,5,1,0.06,0.02,70,172,6,Meta Mixer: 5 players|Suspicious Tit For Tat|Soft Joss: 0.9|Win-Shift Lose-Stay: D|Grudger|Bully
40,3,0,5,1,0.06,0.1,24,200,8,Win-Stay Lose-Shift|Cooperator|Alternator|Meta Winner: 6 players|Tit For 2 Tats|Suspicious Tit For Tat|Grudger|Meta Mixer: 6 players
41,3,0,5,1,0.01,0.07,90,63,6,"Win-Stay Lose-Shift|Cooperator|Anti Tit For Tat|Grudger|DoubleCrosser: (D, D)|GTFT: 0.33"
42,3,0,5,1,0.04,0.05,53,4,16,"Random: 0.5|Cooperator|DoubleCrosser: (D, D)|Grudger|Soft Joss: 0.9|Evolved HMM 5|Bully|Suspicious Tit For Tat|Evolved FSM 16|Win-Shift Lose-Stay: D|Cycler DC|GTFT: 0.33|Tit For Tat|Meta Mixer: 15 players|Tit For 2 Tats|Win-Stay Lose-Shift"
43,3,0,5,1,0.03,0.09,21,72,17,"Tit For Tat|Soft Joss: 0.9|Tit For 2 Tats|GTFT: 0.33|Alternator|Meta Winner: 15 players|DoubleCrosser: (D, D)|Defector|Bully|Meta Mixer: 15 players|Cooperator|Evolved FSM 16|Cycler DC|Grudger|Suspicious Tit For Tat|Evolved HMM 5|Win-Shift Lose-Stay: D"
44,3,0,5,1,0.06,0.05,34,22,10,"DoubleCrosser: (D, D)|Random: 0.5|Evolved FSM 16|Tit For Tat|Meta Mixer: 9 players|GTFT: 0.33|Grudger|Evolved HMM 5|Tit For 2 Tats|Alternator"
45,3,0,5,1,0.01,0.02,98,63,12,"Meta Mixer: 10 players|Grudger|Random: 0.5|Evolved HMM 5|Meta Winner: 10 players|Suspicious Tit For Tat|Evolved FSM 16|Win-Shift Lose-Stay: D|Defector|DoubleCrosser: (D, D)|Tit For Tat|Cycler DC"
46,3,0,5,1,0.03,0.02,34,81,6,Evolved FSM 16|Defector|Suspicious Tit For Tat|Meta Winner: 5 players|Random: 0.5|Cycler DC
47,3,0,5,1,0.07,0.1,77,153,12,"Cooperator|Suspicious Tit For Tat|Win-Stay Lose-Shift|Tit For Tat|Grudger|Bully|Cycler DC|Alternator|Random: 0.5|Win-Shift Lose-Stay: D|Soft Joss: 0.9|DoubleCrosser: (D, D)"
48,3,0,5,1,0.0,0.01,47,179,7,Random: 0.5|Cooperator|Alternator|Win-Stay Lose-Shift|Meta Winner: 6 players|Tit For Tat|Soft Joss: 0.9
49,3,0,5,1,0.03,0.1,42,123,6,Bully|Tit For 2 Tats|Random: 0.5|Meta Winner: 5 players|Anti Tit For Tat|Evolved HMM 5
50,3,0,5,1,0.01,0.06,48,22,10,"Cooperator|Evolved FSM 16|DoubleCrosser: (D, D)|Tit For Tat|Tit For 2 Tats|Evolved HMM 5|Soft Joss: 0.9|Cycler DC|Win-Stay Lose-Shift|Suspicious Tit For Tat"
51,3,0,5,1,0.03,0.06,88,190,6,Suspicious Tit For Tat|Meta Winner: 5 players|Win-Shift Lose-Stay: D|Bully|Defector|Cooperator
52,3,0,5,1,0.02,0.01,10,105,17,"Meta Winner: 15 players|Random: 0.5|Win-Stay Lose-Shift|Anti Tit For Tat|Tit For Tat|Cycler DC|Grudger|Soft Joss: 0.9|DoubleCrosser: (D, D)|Meta Mixer: 15 players|Evolved HMM 5|Cooperator|Tit For 2 Tats|Suspicious Tit For Tat|Defector|GTFT: 0.33|Evolved FSM 16"
53,3,0,5,1,0.04,0.05,92,39,11,Cycler DC|Bully|Anti Tit For Tat|Defector|Win-Stay Lose-Shift|Random: 0.5|Grudger|Soft Joss: 0.9|Meta Winner: 10 players|Tit For Tat|Evolved FSM 16
54,3,0,5,1,0.05,0.03,61,70,19,"Evolved FSM 16|Random: 0.5|Soft Joss: 0.9|Bully|Anti Tit For Tat|Meta Winner: 17 players|Suspicious Tit For Tat|Grudger|Defector|Win-Stay Lose-Shift|Cycler DC|Alternator|Meta Mixer: 17 players|Tit For Tat|Tit For 2 Tats|GTFT: 0.33|Win-Shift Lose-Stay: D|Evolved HMM 5|DoubleCrosser: (D, D)"
55,3,0,5,1,0.06,0.08,32,121,19,"Soft Joss: 0.9|Win-Shift Lose-Stay: D|Defector|DoubleCrosser: (D, D)|Random: 0.5|Anti Tit For Tat|Tit For Tat|Evolved FSM 16|Suspicious Tit For Tat|Tit For 2 Tats|GTFT: 0.33|Meta Winner: 17 players|Bully|Evolved HMM 5|Cooperator|Win-Stay Lose-Shift|Grudger|Cycler DC|Meta Mixer: 17 players"
56,3,0,5,1,0.08,0.06,68,23,13,"Win-Shift Lose-Stay: D|GTFT: 0.33|Cooperator|Tit For 2 Tats|Alternator|Meta Mixer: 11 players|DoubleCrosser: (D, D)|Meta Winner: 11 players|Tit For Tat|Suspicious Tit For Tat|Random: 0.5|Evolved FSM 16|Defector"
57,3,0,5,1,0.06,0.05,66,195,4,Suspicious Tit For Tat|Win-Shift Lose-Stay: D|Evolved FSM 16|Cycler DC
58,3,0,5,1,0.09,0.04,99,125,6,Alternator|Tit For Tat|Defector|Win-Stay Lose-Shift|Meta Winner: 5 players|Win-Shift Lose-Stay: D
59,3,0,5,1,0.04,0.02,24,119,6,Cycler DC|Random: 0.5|Win-Stay Lose-Shift|Evolved HMM 5|Win-Shift Lose-Stay: D|Suspicious Tit For Tat
60,3,0,5,1,0.08,0.1,41,117,20,"Cycler DC|Tit For 2 Tats|Suspicious Tit For Tat|Evolved HMM 5|Meta Winner: 18 players|DoubleCrosser: (D, D)|Anti Tit For Tat|Random: 0.5|Evolved FSM 16|Defector|Win-Shift Lose-Stay: D|Meta Mixer: 18 players|Alternator|Bully|GTFT: 0.33|Grudger|Cooperator|Tit For Tat|Soft Joss: 0.9|Win-Stay Lose-Shift"
61,3,0,5,1,0.03,0.06,79,97,17,"GTFT: 0.33|Suspicious Tit For Tat|Tit For Tat|Tit For 2 Tats|Evolved FSM 16|DoubleCrosser: (D, D)|Evolved HMM 5|Meta Mixer: 15 players|Alternator|Defector|Random: 0.5|Soft Joss: 0.9|Win-Shift Lose-Stay: D|Meta Winner: 15 players|Win-Stay Lose-Shift|Anti Tit For Tat|Cooperator"
62,3,0,5,1,0.1,0.01,85,85,6,Soft Joss: 0.9|Cooperator|Evolved HMM 5|Meta Winner: 5 players|Alternator|Grudger
63,3,0,5,1,0.01,0.09,29,20,18,"Win-Shift Lose-Stay: D|GTFT: 0.33|Tit For 2 Tats|Bully|Meta Mixer: 16 players|DoubleCrosser: (D, D)|Random: 0.5|Meta Winner: 16 players|Suspicious Tit For Tat|Defector|Tit For Tat|Evolved FSM 16|Alternator|Cycler DC|Win-Stay Lose-Shift|Anti Tit For Tat|Evolved HMM 5|Soft Joss: 0.9"
64,3,0,5,1,0.07,0.04,22,195,6,Soft Joss: 0.9|Defector|Win-Stay Lose-Shift|Alternator|Anti Tit For Tat|Meta Mixer: 5 players
65,3,0,5,1,0.08,0.03,57,111,7,"Tit For Tat|Evolved HMM 5|DoubleCrosser: (D, D)|Defector|Meta Mixer: 6 players|Bully|Anti Tit For Tat"
66,3,0,5,1,0.06,0.04,97,62,18,"Meta Mixer: 16 players|Cycler DC|Tit For Tat|Soft Joss: 0.9|Win-Shift Lose-Stay: D|Evolved FSM 16|Meta Winner: 16 players|GTFT: 0.33|Alternator|Evolved HMM 5|DoubleCrosser: (D, D)|Random: 0.5|Bully|Grudger|Cooperator|Tit For 2 Tats|Win-Stay Lose-Shift|Defector"
67,3,0,5,1,0.1,0.07,68,78,9,Tit For 2 Tats|Random: 0.5|Cooperator|Tit For Tat|Meta Winner: 8 players|Win-Stay Lose-Shift|Defector|Soft Joss: 0.9|Cycler DC
68,3,0,5,1,0.1,0.03,94,102,11,"Alternator|Meta Mixer: 10 players|Anti Tit For Tat|Random: 0.5|Win-Stay Lose-Shift|Tit For 2 Tats|Soft Joss: 0.9|Cooperator|Evolved HMM 5|Defector|DoubleCrosser: (D, D)"
69,3,0,5,1,0.06,0.06,96,194,7,Cooperator|Anti Tit For Tat|Win-Stay Lose-Shift|Soft Joss: 0.9|Meta Mixer: 6 players|Evolved FSM 16|Defector
70,3,0,5,1,0.07,0.01,47,84,16,"Defector|Suspicious Tit For Tat|Cycler DC|Grudger|Win-Shift Lose-Stay: D|DoubleCrosser: (D, D)|Bully|Evolved FSM 16|Tit For Tat|Tit For 2 Tats|Meta Winner: 15 players|Anti Tit For Tat|Evolved HMM 5|Alternator|Random: 0.5|Win-Stay Lose-Shift"
71,3,0,5,1,0.09,0.07,60,143,14,"Bully|Tit For 2 Tats|Alternator|Win-Shift Lose-Stay: D|Cooperator|Tit For Tat|Defector|GTFT: 0.33|Grudger|Meta Mixer: 13 players|Cycler DC|Suspicious Tit For Tat|DoubleCrosser: (D, D)|Evolved FSM 16"
72,3,0,5,1,0.07,0.05,89,144,13,Meta Winner: 11 players|Tit For Tat|Bully|Soft Joss: 0.9|Win-Stay Lose-Shift|GTFT: 0.33|Suspicious Tit For Tat|Anti Tit For Tat|Evolved FSM 16|Alternator|Evolved HMM 5|Cycler DC|Meta Mixer: 11 players
73,3,0,5,1,0.01,0.02,78,35,15,"Soft Joss: 0.9|Grudger|Evolved FSM 16|DoubleCrosser: (D, D)|Cycler DC|Meta Winner: 14 players|Suspicious Tit For Tat|GTFT: 0.33|Anti Tit For Tat|Tit For Tat|Win-Stay Lose-Shift|Evolved HMM 5|Random: 0.5|Alternator|Defector"
74,3,0,5,1,0.04,0.04,40,93,6,Grudger|Evolved FSM 16|Meta Winner: 5 players|Anti Tit For Tat|Tit For 2 Tats|Cycler DC
75,3,0,5,1,0.02,0.01,68,24,9,Meta Winner: 8 players|Alternator|Anti Tit For Tat|GTFT: 0.33|Tit For Tat|Bully|Tit For 2 Tats|Win-Stay Lose-Shift|Cooperator
76,3,0,5,1,0.01,0.08,36,151,9,"Tit For Tat|GTFT: 0.33|Cycler DC|Alternator|Win-Shift Lose-Stay: D|DoubleCrosser: (D, D)|Bully|Soft Joss: 0.9|Random: 0.5"
77,3,0,5,1,0.03,0.02,94,7,7,Alternator|Grudger|Tit For Tat|GTFT: 0.33|Meta Winner: 6 players|Bully|Cycler DC
78,3,0,5,1,0.01,0.07,77,30,5,Random: 0.5|Soft Joss: 0.9|Grudger|Evolved HMM 5|Cooperator
79,3,0,5,1,0.05,0.02,88,12,19,"Win-Stay Lose-Shift|Soft Joss: 0.9|Alternator|Anti Tit For Tat|Random: 0.5|DoubleCrosser: (D, D)|Suspicious Tit For Tat|Meta Mixer: 17 players|GTFT: 0.33|Evolved HMM 5|Tit For Tat|Meta Winner: 17 players|Grudger|Evolved FSM 16|Bully|Cycler DC|Win-Shift Lose-Stay: D|Tit For 2 Tats|Defector"
80,3,0,5,1,0.03,0.06,80,183,13,"Tit For 2 Tats|Evolved HMM 5|Win-Stay Lose-Shift|Soft Joss: 0.9|DoubleCrosser: (D, D)|Anti Tit For Tat|Meta Winner: 11 players|Grudger|Meta Mixer: 11 players|GTFT: 0.33|Win-Shift Lose-Stay: D|Cooperator|Suspicious Tit For Tat"
81,3,0,5,1,0.05,0.02,53,117,15,"DoubleCrosser: (D, D)|Cooperator|GTFT: 0.33|Meta Winner: 14 players|Evolved FSM 16|Random: 0.5|Cycler DC|Defector|Bully|Soft Joss: 0.9|Tit For Tat|Anti Tit For Tat|Win-Shift Lose-Stay: D|Suspicious Tit For Tat|Alternator"
82,3,0,5,1,0.01,0.01,57,34,20,"Anti Tit For Tat|Meta Mixer: 18 players|Evolved FSM 16|GTFT: 0.33|Cooperator|Suspicious Tit For Tat|Defector|Evolved HMM 5|Soft Joss: 0.9|Alternator|Cycler DC|Win-Stay Lose-Shift|DoubleCrosser: (D, D)|Tit For 2 Tats|Win-Shift Lose-Stay: D|Tit For Tat|Meta Winner: 18 players|Grudger|Random: 0.5|Bully"
83,3,0,5,1,0.08,0.04,81,95,6,"Win-Shift Lose-Stay: D|Meta Mixer: 5 players|Tit For Tat|DoubleCrosser: (D, D)|Alternator|Win-Stay Lose-Shift"
84,3,0,5,1,0.09,0.08,44,8,8,"Win-Shift Lose-Stay: D|Win-Stay Lose-Shift|GTFT: 0.33|Grudger|Alternator|Bully|DoubleCrosser: (D, D)|Soft Joss: 0.9"
85,3,0,5,1,0.06,0.04,28,190,3,Bully|Evolved HMM 5|Suspicious Tit For Tat
86,3,0,5,1,0.04,0.05,30,95,12,GTFT: 0.33|Meta Mixer: 10 players|Bully|Anti Tit For Tat|Cycler DC|Evolved FSM 16|Tit For 2 Tats|Win-Stay Lose-Shift|Alternator|Meta Winner: 10 players|Evolved HMM 5|Random: 0.5
87,3,0,5,1,0.04,0.04,87,114,16,"Win-Shift Lose-Stay: D|Suspicious Tit For Tat|Evolved HMM 5|Cooperator|Grudger|Meta Mixer: 15 players|Anti Tit For Tat|Cycler DC|GTFT: 0.33|Random: 0.5|Win-Stay Lose-Shift|Tit For Tat|Tit For 2 Tats|Alternator|DoubleCrosser: (D, D)|Evolved FSM 16"
88,3,0,5,1,0.1,0.01,36,78,9,Cycler DC|Win-Shift Lose-Stay: D|Win-Stay Lose-Shift|GTFT: 0.33|Cooperator|Alternator|Tit For Tat|Grudger|Suspicious Tit For Tat
89,3,0,5,1,0.02,0.04,100,59,19,"Evolved FSM 16|Grudger|Bully|Tit For 2 Tats|Anti Tit For Tat|Suspicious Tit For Tat|Alternator|Tit For Tat|Random: 0.5|Defector|Win-Stay Lose-Shift|Soft Joss: 0.9|Win-Shift Lose-Stay: D|GTFT: 0.33|Evolved HMM 5|Cooperator|Meta Winner: 17 players|DoubleCrosser: (D, D)|Meta Mixer: 17 players"
90,3,0,5,1,0.0,0.03,89,118,14,"Bully|DoubleCrosser: (D, D)|Cooperator|Tit For Tat|Meta Mixer: 12 players|Win-Stay Lose-Shift|Suspicious Tit For Tat|Win-Shift Lose-Stay: D|Anti Tit For Tat|Random: 0.5|Cycler DC|Defector|Evolved FSM 16|Meta Winner: 12 players"
91,3,0,5,1,0.08,0.01,91,30,19,"Evolved HMM 5|Suspicious Tit For Tat|Grudger|Evolved FSM 16|Cycler DC|Cooperator|Anti Tit For Tat|Bully|Random: 0.5|Soft Joss: 0.9|Tit For 2 Tats|Win-Stay Lose-Shift|DoubleCrosser: (D, D)|Tit For Tat|Defector|GTFT: 0.33|Meta Winner: 17 players|Win-Shift Lose-Stay: D|Meta Mixer: 17 players"
92,3,0,5,1,0.07,0.09,92,163,13,GTFT: 0.33|Cycler DC|Soft Joss: 0.9|Bully|Random: 0.5|Tit For Tat|Meta Winner: 11 players|Meta Mixer: 11 players|Tit For 2 Tats|Win-Stay Lose-Shift|Alternator|Defector|Anti Tit For Tat
93,3,0,5,1,0.03,0.05,17,95,12,Bully|Meta Winner: 11 players|Evolved HMM 5|Tit For 2 Tats|Soft Joss: 0.9|Win-Stay Lose-Shift|Win-Shift Lose-Stay: D|Evolved FSM 16|Grudger|Alternator|Tit For Tat|Cooperator
94,3,0,5,1,0.03,0.05,29,16,17,"Cooperator|GTFT: 0.33|Bully|Evolved HMM 5|Defector|Alternator|Meta Winner: 15 players|Grudger|Tit For Tat|Tit For 2 Tats|Win-Shift Lose-Stay: D|Win-Stay Lose-Shift|Evolved FSM 16|Meta Mixer: 15 players|Suspicious Tit For Tat|Random: 0.5|DoubleCrosser: (D, D)"
95,3,0,5,1,0.04,0.03,86,14,13,Bully|GTFT: 0.33|Cooperator|Tit For 2 Tats|Win-Stay Lose-Shift|Cycler DC|Grudger|Meta Mixer: 11 players|Random: 0.5|Meta Winner: 11 players|Defector|Anti Tit For Tat|Evolved HMM 5
96,3,0,5,1,0.09,0.03,93,179,15,"Cycler DC|Bully|Win-Stay Lose-Shift|Tit For 2 Tats|GTFT: 0.33|DoubleCrosser: (D, D)|Meta Mixer: 13 players|Random: 0.5|Grudger|Evolved HMM 5|Win-Shift Lose-Stay: D|Anti Tit For Tat|Suspicious Tit For Tat|Meta Winner: 13 players|Soft Joss: 0.9"
97,3,0,5,1,0.0,0.03,37,88,18,"Suspicious Tit For Tat|Tit For Tat|Cycler DC|Evolved FSM 16|Bully|Evolved HMM 5|DoubleCrosser: (D, D)|Tit For 2 Tats|Anti Tit For Tat|Win-Shift Lose-Stay: D|GTFT: 0.33|Win-Stay Lose-Shift|Alternator|Defector|Random: 0.5|Soft Joss: 0.9|Grudger|Meta Winner: 17 players"
