run,R,S,T,P,noise,prob_end,repetitions,turns,n_strategies,selected_strategies
11,2.38,-0.16,4.5,0.9,0.03,0.02,19,114,20,"Cooperator|Anti Tit For Tat|Evolved FSM 16|Alternator|Bully|Soft Joss: 0.9|Tit For 2 Tats|Meta Winner: 18 players|Random: 0.5|Suspicious Tit For Tat|Tit For Tat|Win-Stay Lose-Shift|DoubleCrosser: (D, D)|GTFT: 0.33|Win-Shift Lose-Stay: D|Evolved HMM 5|Meta Mixer: 18 players|Defector|Cycler DC|Grudger"
12,3.57,-0.15,4.53,0.91,0.1,0.1,81,170,18,"Cycler DC|Suspicious Tit For Tat|Win-Stay Lose-Shift|Meta Mixer: 16 players|Anti Tit For Tat|Evolved FSM 16|Grudger|Win-Shift Lose-Stay: D|Alternator|Defector|DoubleCrosser: (D, D)|Soft Joss: 0.9|Tit For Tat|Meta Winner: 16 players|Evolved HMM 5|Random: 0.5|Tit For 2 Tats|Bully"
13,2.37,0.35,4.16,1.19,0.02,0.01,82,64,4,"Meta Winner: 3 players|Bully|DoubleCrosser: (D, D)|Evolved HMM 5"
14,2.52,-0.37,4.63,1.34,0.03,0.01,92,77,17,"GTFT: 0.33|Bully|Alternator|Soft Joss: 0.9|Cooperator|Anti Tit For Tat|Win-Shift Lose-Stay: D|Random: 0.5|DoubleCrosser: (D, D)|Cycler DC|Meta Mixer: 16 players|Defector|Evolved HMM 5|Tit For Tat|Win-Stay Lose-Shift|Grudger|Suspicious Tit For Tat"
15,3.06,0.11,5.61,1.34,0.09,0.01,27,68,6,Cooperator|Evolved FSM 16|Cycler DC|Win-Shift Lose-Stay: D|Win-Stay Lose-Shift|Random: 0.5
16,2.69,0.71,4.42,1.37,0.05,0.03,16,24,16,Win-Shift Lose-Stay: D|Anti Tit For Tat|Alternator|GTFT: 0.33|Cycler DC|Evolved HMM 5|Random: 0.5|Bully|Grudger|Tit For Tat|Meta Winner: 14 players|Suspicious Tit For Tat|Evolved FSM 16|Soft Joss: 0.9|Win-Stay Lose-Shift|Meta Mixer: 14 players
17,3.67,-0.7,5.09,1.17,0.01,0.03,15,92,9,"Tit For Tat|Cooperator|Grudger|DoubleCrosser: (D, D)|Cycler DC|Soft Joss: 0.9|Meta Mixer: 8 players|Bully|Tit For 2 Tats"
18,3.6,0.62,5.86,1.73,0.03,0.08,23,98,4,Random: 0.5|Tit For Tat|Suspicious Tit For Tat|Soft Joss: 0.9
19,3.64,-0.55,4.7,1.74,0.07,0.04,45,18,11,"Grudger|Evolved HMM 5|Tit For 2 Tats|GTFT: 0.33|Alternator|Anti Tit For Tat|Cycler DC|Bully|Win-Stay Lose-Shift|DoubleCrosser: (D, D)|Random: 0.5"
20,2.87,-0.37,4.22,1.46,0.06,0.05,59,148,9,"Win-Shift Lose-Stay: D|Anti Tit For Tat|DoubleCrosser: (D, D)|Alternator|Suspicious Tit For Tat|Defector|Random: 0.5|Meta Mixer: 8 players|GTFT: 0.33"
21,3.25,-0.75,5.84,1.33,0.09,0.05,95,105,13,"Tit For 2 Tats|Win-Stay Lose-Shift|Evolved FSM 16|Cycler DC|Suspicious Tit For Tat|Random: 0.5|GTFT: 0.33|Soft Joss: 0.9|DoubleCrosser: (D, D)|Bully|Meta Mixer: 11 players|Evolved HMM 5|Meta Winner: 11 players"
22,3.31,-0.12,5.16,0.93,0.02,0.05,31,169,5,Win-Stay Lose-Shift|Evolved HMM 5|GTFT: 0.33|Bully|Tit For Tat
23,2.45,-0.95,5.35,0.4,0.02,0.05,19,117,16,Meta Mixer: 14 players|Suspicious Tit For Tat|Tit For 2 Tats|Random: 0.5|Evolved FSM 16|Cooperator|Bully|GTFT: 0.33|Grudger|Alternator|Anti Tit For Tat|Meta Winner: 14 players|Soft Joss: 0.9|Win-Stay Lose-Shift|Defector|Cycler DC
24,3.11,-0.76,4.93,1.83,0.01,0.05,77,144,13,"Soft Joss: 0.9|Evolved HMM 5|DoubleCrosser: (D, D)|Meta Winner: 11 players|Defector|Grudger|Evolved FSM 16|Tit For Tat|Tit For 2 Tats|Cycler DC|Cooperator|GTFT: 0.33|Meta Mixer: 11 players"
25,2.55,-0.43,5.25,0.15,0.03,0.03,79,21,7,Cycler DC|Tit For Tat|Tit For 2 Tats|Meta Winner: 6 players|Suspicious Tit For Tat|Anti Tit For Tat|Random: 0.5
26,3.09,-0.59,4.82,0.83,0.04,0.09,84,179,3,Meta Mixer: 2 players|Tit For 2 Tats|Random: 0.5
27,2.7,0.71,4.01,1.51,0.1,0.04,79,155,10,"Random: 0.5|Tit For Tat|Win-Shift Lose-Stay: D|DoubleCrosser: (D, D)|Meta Winner: 9 players|Alternator|Suspicious Tit For Tat|Defector|GTFT: 0.33|Grudger"
28,3.45,0.84,5.6,1.68,0.1,0.05,60,152,3,"Bully|DoubleCrosser: (D, D)|Cycler DC"
29,2.68,-0.44,4.91,1.76,0.1,0.04,20,121,3,Evolved FSM 16|Anti Tit For Tat|Grudger
30,2.14,-0.92,4.45,1.91,0.0,0.02,12,160,7,Tit For Tat|Cycler DC|Random: 0.5|Cooperator|Suspicious Tit For Tat|Meta Winner: 6 players|Grudger
31,2.74,0.93,4.51,1.21,0.07,0.08,30,80,6,Meta Mixer: 5 players|Alternator|Win-Stay Lose-Shift|Tit For 2 Tats|Evolved HMM 5|Grudger
32,3.18,-0.51,4.4,1.66,0.07,0.03,97,154,6,"Meta Mixer: 4 players|Anti Tit For Tat|Grudger|DoubleCrosser: (D, D)|Evolved FSM 16|Meta Winner: 4 players"
33,3.92,0.66,4.21,1.27,0.07,0.04,76,167,11,"Meta Winner: 9 players|Evolved FSM 16|Random: 0.5|Soft Joss: 0.9|DoubleCrosser: (D, D)|Meta Mixer: 9 players|Grudger|Win-Stay Lose-Shift|Cycler DC|Defector|Cooperator"
34,3.22,-0.94,4.93,0.76,0.09,0.02,37,91,11,GTFT: 0.33|Win-Shift Lose-Stay: D|Meta Mixer: 10 players|Alternator|Suspicious Tit For Tat|Anti Tit For Tat|Cooperator|Grudger|Random: 0.5|Tit For Tat|Evolved FSM 16
35,3.38,-0.02,5.52,1.29,0.08,0.01,38,104,10,"Win-Stay Lose-Shift|Meta Mixer: 9 players|Grudger|Random: 0.5|Evolved FSM 16|Suspicious Tit For Tat|Evolved HMM 5|Win-Shift Lose-Stay: D|Defector|DoubleCrosser: (D, D)"
36,2.54,-0.76,5.41,0.5,0.02,0.01,78,196,8,"Suspicious Tit For Tat|Meta Winner: 7 players|Random: 0.5|Win-Shift Lose-Stay: D|Win-Stay Lose-Shift|Anti Tit For Tat|DoubleCrosser: (D, D)|Cooperator"
37,2.72,0.42,4.59,0.6,0.01,0.0,16,142,12,"Cycler DC|Random: 0.5|Cooperator|Alternator|Win-Stay Lose-Shift|Tit For Tat|Soft Joss: 0.9|DoubleCrosser: (D, D)|Defector|Bully|Evolved HMM 5|Meta Winner: 11 players"
38,2.96,-0.2,5.88,1.64,0.01,0.06,16,39,7,Meta Mixer: 6 players|Win-Stay Lose-Shift|Bully|Tit For Tat|Cooperator|Win-Shift Lose-Stay: D|Tit For 2 Tats
39,3.19,0.55,4.83,1.24,0.04,0.09,48,151,16,"Win-Stay Lose-Shift|Meta Mixer: 14 players|Anti Tit For Tat|Cooperator|Suspicious Tit For Tat|GTFT: 0.33|Evolved HMM 5|Cycler DC|Soft Joss: 0.9|Evolved FSM 16|Bully|DoubleCrosser: (D, D)|Meta Winner: 14 players|Tit For 2 Tats|Alternator|Grudger"
40,2.9,-0.42,4.01,1.19,0.02,0.07,99,117,5,"Tit For Tat|Win-Shift Lose-Stay: D|Suspicious Tit For Tat|DoubleCrosser: (D, D)|Cooperator"
41,3.3,0.65,5.09,1.82,0.01,0.02,49,153,12,"Soft Joss: 0.9|Cooperator|Meta Winner: 11 players|Win-Stay Lose-Shift|Tit For 2 Tats|Cycler DC|Win-Shift Lose-Stay: D|DoubleCrosser: (D, D)|Tit For Tat|Grudger|Anti Tit For Tat|Alternator"
42,3.47,-0.95,5.78,1.21,0.02,0.07,83,151,3,Win-Shift Lose-Stay: D|Meta Mixer: 2 players|Anti Tit For Tat
43,3.99,0.63,4.56,0.87,0.1,0.05,62,86,13,"Cooperator|Defector|GTFT: 0.33|DoubleCrosser: (D, D)|Random: 0.5|Cycler DC|Evolved FSM 16|Suspicious Tit For Tat|Win-Shift Lose-Stay: D|Alternator|Tit For Tat|Anti Tit For Tat|Meta Mixer: 12 players"
44,3.04,-0.0,4.11,1.25,0.04,0.01,44,141,7,Win-Stay Lose-Shift|Soft Joss: 0.9|Random: 0.5|Cooperator|Alternator|GTFT: 0.33|Meta Winner: 6 players
45,3.42,-0.97,5.6,0.62,0.04,0.02,24,119,6,Cycler DC|Random: 0.5|Win-Stay Lose-Shift|Evolved HMM 5|Win-Shift Lose-Stay: D|Suspicious Tit For Tat
46,3.96,0.1,5.67,0.49,0.04,0.09,75,192,7,"Bully|Win-Shift Lose-Stay: D|DoubleCrosser: (D, D)|GTFT: 0.33|Meta Mixer: 6 players|Evolved FSM 16|Alternator"
47,3.09,-0.36,5.1,0.91,0.02,0.07,83,99,10,"DoubleCrosser: (D, D)|Anti Tit For Tat|GTFT: 0.33|Random: 0.5|Tit For 2 Tats|Suspicious Tit For Tat|Evolved FSM 16|Evolved HMM 5|Meta Winner: 9 players|Bully"
48,3.75,0.05,5.74,0.88,0.05,0.07,62,168,7,Bully|Random: 0.5|Win-Shift Lose-Stay: D|GTFT: 0.33|Tit For 2 Tats|Evolved HMM 5|Anti Tit For Tat
49,3.7,-0.24,5.7,1.72,0.03,0.07,72,139,4,Meta Winner: 3 players|Bully|Tit For Tat|Win-Stay Lose-Shift
50,3.49,-0.8,5.99,0.87,0.06,0.09,66,43,12,Alternator|Anti Tit For Tat|GTFT: 0.33|Meta Mixer: 11 players|Win-Stay Lose-Shift|Defector|Soft Joss: 0.9|Suspicious Tit For Tat|Bully|Cooperator|Win-Shift Lose-Stay: D|Tit For 2 Tats
51,3.59,-0.84,5.13,0.34,0.09,0.06,40,128,7,Tit For Tat|Soft Joss: 0.9|Win-Shift Lose-Stay: D|Meta Mixer: 6 players|Evolved FSM 16|GTFT: 0.33|Alternator
52,3.89,-0.4,4.15,1.98,0.1,0.07,68,78,9,Tit For 2 Tats|Random: 0.5|Cooperator|Tit For Tat|Meta Winner: 8 players|Win-Stay Lose-Shift|Defector|Soft Joss: 0.9|Cycler DC
53,3.13,0.49,4.55,1.37,0.0,0.06,73,74,10,"Meta Winner: 8 players|Grudger|Tit For Tat|Suspicious Tit For Tat|Win-Shift Lose-Stay: D|GTFT: 0.33|Tit For 2 Tats|Meta Mixer: 8 players|Soft Joss: 0.9|DoubleCrosser: (D, D)"
54,3.26,0.29,5.68,1.81,0.03,0.04,84,94,7,"Bully|Win-Stay Lose-Shift|GTFT: 0.33|DoubleCrosser: (D, D)|Defector|Cooperator|Meta Winner: 6 players"
55,3.75,0.0,5.57,0.73,0.03,0.02,71,76,13,"Cooperator|Soft Joss: 0.9|Bully|Cycler DC|Tit For Tat|DoubleCrosser: (D, D)|GTFT: 0.33|Grudger|Meta Mixer: 12 players|Suspicious Tit For Tat|Win-Shift Lose-Stay: D|Defector|Anti Tit For Tat"
56,3.34,0.64,5.35,1.17,0.09,0.01,39,121,3,Meta Winner: 2 players|Evolved FSM 16|GTFT: 0.33
57,2.6,-0.72,5.82,0.82,0.09,0.03,73,30,6,Tit For Tat|Evolved FSM 16|Cycler DC|Tit For 2 Tats|Soft Joss: 0.9|Defector
58,3.49,-0.16,5.34,1.89,0.07,0.02,63,168,6,"Random: 0.5|DoubleCrosser: (D, D)|Win-Shift Lose-Stay: D|Anti Tit For Tat|Grudger|Cooperator"
59,3.9,-0.8,4.89,1.71,0.07,0.05,92,92,4,Tit For 2 Tats|Win-Shift Lose-Stay: D|Suspicious Tit For Tat|Cooperator
60,3.65,-0.58,5.9,0.18,0.06,0.1,16,86,10,"Cycler DC|Meta Mixer: 9 players|Suspicious Tit For Tat|Bully|Evolved FSM 16|Win-Stay Lose-Shift|Cooperator|DoubleCrosser: (D, D)|Defector|Evolved HMM 5"
61,3.08,-0.78,5.98,1.6,0.09,0.01,55,61,13,Alternator|Defector|Win-Shift Lose-Stay: D|Anti Tit For Tat|Cycler DC|Grudger|Suspicious Tit For Tat|Evolved FSM 16|Evolved HMM 5|Soft Joss: 0.9|Tit For Tat|Win-Stay Lose-Shift|Meta Mixer: 12 players
62,3.57,0.04,4.09,1.73,0.05,0.1,17,123,15,"DoubleCrosser: (D, D)|Cooperator|Random: 0.5|Soft Joss: 0.9|Bully|Evolved HMM 5|Anti Tit For Tat|Defector|Win-Stay Lose-Shift|Evolved FSM 16|Meta Winner: 14 players|GTFT: 0.33|Cycler DC|Tit For Tat|Tit For 2 Tats"
63,3.42,0.19,5.17,0.76,0.03,0.05,65,26,6,"Evolved FSM 16|Suspicious Tit For Tat|DoubleCrosser: (D, D)|Soft Joss: 0.9|Tit For Tat|Meta Mixer: 5 players"
64,2.91,-0.81,4.68,0.83,0.04,0.07,57,40,18,"Bully|Meta Winner: 16 players|Meta Mixer: 16 players|Evolved FSM 16|DoubleCrosser: (D, D)|Anti Tit For Tat|Grudger|Random: 0.5|Defector|Evolved HMM 5|Win-Shift Lose-Stay: D|Alternator|Tit For 2 Tats|Tit For Tat|Win-Stay Lose-Shift|Cooperator|GTFT: 0.33|Cycler DC"
65,2.85,-0.9,5.88,1.83,0.03,0.03,23,148,19,"Suspicious Tit For Tat|Cycler DC|Random: 0.5|Tit For Tat|Cooperator|Defector|DoubleCrosser: (D, D)|Win-Shift Lose-Stay: D|Soft Joss: 0.9|Anti Tit For Tat|Meta Mixer: 17 players|Evolved FSM 16|Meta Winner: 17 players|Evolved HMM 5|Win-Stay Lose-Shift|Grudger|Alternator|Bully|GTFT: 0.33"
66,2.55,0.84,4.06,1.52,0.04,0.02,28,145,15,"Bully|Cycler DC|Alternator|Meta Winner: 13 players|Suspicious Tit For Tat|Random: 0.5|Soft Joss: 0.9|Tit For Tat|Defector|Evolved HMM 5|Grudger|Meta Mixer: 13 players|Win-Stay Lose-Shift|DoubleCrosser: (D, D)|Win-Shift Lose-Stay: D"
67,2.16,-0.15,4.1,0.89,0.06,0.04,37,194,19,"Cooperator|Grudger|DoubleCrosser: (D, D)|Meta Winner: 17 players|Win-Stay Lose-Shift|GTFT: 0.33|Soft Joss: 0.9|Random: 0.5|Tit For Tat|Win-Shift Lose-Stay: D|Cycler DC|Alternator|Evolved HMM 5|Meta Mixer: 17 players|Tit For 2 Tats|Evolved FSM 16|Defector|Suspicious Tit For Tat|Anti Tit For Tat"
68,3.53,-0.42,5.89,1.53,0.01,0.05,65,45,7,Tit For 2 Tats|Evolved FSM 16|Tit For Tat|Evolved HMM 5|Grudger|Anti Tit For Tat|Suspicious Tit For Tat
69,3.15,0.42,5.72,1.15,0.04,0.01,12,84,8,"Meta Winner: 7 players|Soft Joss: 0.9|Grudger|Bully|DoubleCrosser: (D, D)|Random: 0.5|Anti Tit For Tat|Cooperator"
70,2.44,-0.85,5.49,1.56,0.06,0.05,34,199,14,"Grudger|Cycler DC|Tit For Tat|Cooperator|Meta Mixer: 13 players|Random: 0.5|Evolved HMM 5|Bully|Win-Stay Lose-Shift|Tit For 2 Tats|Anti Tit For Tat|GTFT: 0.33|Evolved FSM 16|DoubleCrosser: (D, D)"
71,3.52,0.85,5.51,0.9,0.06,0.06,89,83,13,"Cycler DC|Soft Joss: 0.9|Bully|Random: 0.5|Meta Mixer: 11 players|GTFT: 0.33|Meta Winner: 11 players|Tit For 2 Tats|DoubleCrosser: (D, D)|Win-Stay Lose-Shift|Alternator|Defector|Anti Tit For Tat"
72,3.73,0.23,4.15,1.71,0.05,0.05,80,190,4,Soft Joss: 0.9|Meta Mixer: 3 players|Suspicious Tit For Tat|GTFT: 0.33
73,3.0,-0.1,5.21,1.92,0.08,0.08,20,130,8,Anti Tit For Tat|Tit For Tat|Soft Joss: 0.9|Evolved FSM 16|Defector|Random: 0.5|Evolved HMM 5|Cycler DC
74,3.55,-0.9,4.77,1.36,0.06,0.03,52,25,20,"Tit For 2 Tats|Win-Stay Lose-Shift|Win-Shift Lose-Stay: D|Cycler DC|GTFT: 0.33|Anti Tit For Tat|Meta Mixer: 18 players|Random: 0.5|Bully|Defector|Evolved HMM 5|Suspicious Tit For Tat|Grudger|DoubleCrosser: (D, D)|Meta Winner: 18 players|Alternator|Tit For Tat|Cooperator|Soft Joss: 0.9|Evolved FSM 16"
75,3.34,0.48,5.63,1.66,0.07,0.05,92,172,16,"Evolved HMM 5|Grudger|Alternator|Meta Mixer: 14 players|Win-Stay Lose-Shift|Bully|Cooperator|Defector|Tit For Tat|DoubleCrosser: (D, D)|GTFT: 0.33|Soft Joss: 0.9|Win-Shift Lose-Stay: D|Evolved FSM 16|Meta Winner: 14 players|Suspicious Tit For Tat"
76,3.08,0.05,5.02,1.48,0.07,0.09,89,34,15,Cycler DC|Defector|Meta Mixer: 13 players|Evolved FSM 16|Soft Joss: 0.9|Alternator|Suspicious Tit For Tat|Evolved HMM 5|GTFT: 0.33|Cooperator|Tit For Tat|Meta Winner: 13 players|Win-Stay Lose-Shift|Anti Tit For Tat|Win-Shift Lose-Stay: D
77,3.93,0.81,4.48,1.57,0.02,0.07,83,113,17,"Win-Stay Lose-Shift|Tit For 2 Tats|Evolved HMM 5|Evolved FSM 16|DoubleCrosser: (D, D)|Bully|Random: 0.5|Cooperator|Meta Winner: 16 players|Soft Joss: 0.9|Cycler DC|Alternator|Tit For Tat|Suspicious Tit For Tat|GTFT: 0.33|Grudger|Win-Shift Lose-Stay: D"
78,3.03,-0.83,5.42,0.25,0.02,0.04,75,38,16,"Bully|Tit For Tat|Soft Joss: 0.9|Grudger|Alternator|Suspicious Tit For Tat|Random: 0.5|Evolved FSM 16|Win-Shift Lose-Stay: D|Defector|Cooperator|Tit For 2 Tats|Anti Tit For Tat|Meta Winner: 14 players|Meta Mixer: 14 players|DoubleCrosser: (D, D)"
79,2.2,-0.33,4.64,1.43,0.01,0.0,70,179,7,Random: 0.5|Soft Joss: 0.9|Alternator|Bully|Evolved FSM 16|Cycler DC|Cooperator
80,3.1,0.06,5.67,1.45,0.01,0.03,48,32,4,"Tit For Tat|DoubleCrosser: (D, D)|Soft Joss: 0.9|Bully"
81,3.81,-0.97,4.22,1.19,0.05,0.02,28,75,16,"Alternator|Grudger|Tit For Tat|DoubleCrosser: (D, D)|Defector|GTFT: 0.33|Soft Joss: 0.9|Anti Tit For Tat|Win-Shift Lose-Stay: D|Random: 0.5|Tit For 2 Tats|Meta Mixer: 14 players|Meta Winner: 14 players|Cooperator|Suspicious Tit For Tat|Evolved FSM 16"
82,3.96,-0.97,5.27,0.51,0.08,0.03,94,161,6,Meta Mixer: 5 players|GTFT: 0.33|Cycler DC|Anti Tit For Tat|Grudger|Win-Shift Lose-Stay: D
83,3.29,0.37,4.68,1.66,0.1,0.05,33,35,5,Soft Joss: 0.9|Anti Tit For Tat|Win-Stay Lose-Shift|Suspicious Tit For Tat|Meta Mixer: 4 players
84,3.77,-0.38,5.58,0.63,0.04,0.08,70,65,4,Suspicious Tit For Tat|Win-Stay Lose-Shift|Grudger|Anti Tit For Tat
85,3.49,-0.23,5.78,1.79,0.1,0.05,73,95,19,"Win-Shift Lose-Stay: D|Bully|DoubleCrosser: (D, D)|Meta Mixer: 17 players|Evolved FSM 16|Win-Stay Lose-Shift|Random: 0.5|Evolved HMM 5|Meta Winner: 17 players|Cycler DC|Defector|Anti Tit For Tat|Grudger|Tit For 2 Tats|Soft Joss: 0.9|Suspicious Tit For Tat|GTFT: 0.33|Tit For Tat|Cooperator"
86,2.89,0.45,4.33,0.89,0.09,0.06,65,71,4,Bully|Tit For 2 Tats|Grudger|Evolved HMM 5
87,3.36,-0.71,5.6,1.91,0.06,0.08,14,33,5,Tit For Tat|Grudger|Meta Mixer: 4 players|Tit For 2 Tats|Anti Tit For Tat
88,3.36,-0.26,5.21,1.9,0.08,0.06,77,94,15,"GTFT: 0.33|Win-Shift Lose-Stay: D|Tit For Tat|Cooperator|Alternator|Grudger|Bully|Evolved FSM 16|Meta Mixer: 13 players|Suspicious Tit For Tat|Soft Joss: 0.9|Anti Tit For Tat|Cycler DC|Meta Winner: 13 players|DoubleCrosser: (D, D)"
89,3.43,0.62,4.35,1.99,0.1,0.1,95,89,5,Evolved FSM 16|Meta Winner: 3 players|Win-Stay Lose-Shift|Meta Mixer: 3 players|Defector
90,3.85,0.59,5.42,1.28,0.05,0.01,35,36,10,Random: 0.5|Alternator|Grudger|Evolved FSM 16|Soft Joss: 0.9|Tit For 2 Tats|Win-Shift Lose-Stay: D|Bully|Win-Stay Lose-Shift|Anti Tit For Tat
91,2.8,-0.04,4.13,1.43,0.04,0.04,83,19,7,"GTFT: 0.33|Bully|Soft Joss: 0.9|Evolved FSM 16|Grudger|Meta Mixer: 6 players|DoubleCrosser: (D, D)"
92,3.82,-0.75,4.87,0.11,0.02,0.02,51,182,10,Grudger|Evolved HMM 5|Win-Stay Lose-Shift|Bully|Win-Shift Lose-Stay: D|Cooperator|GTFT: 0.33|Random: 0.5|Cycler DC|Meta Mixer: 9 players
93,3.16,0.25,5.18,0.34,0.09,0.03,82,11,3,Bully|Anti Tit For Tat|Win-Shift Lose-Stay: D
94,3.53,0.28,5.3,0.83,0.05,0.06,47,165,12,Random: 0.5|Tit For Tat|Tit For 2 Tats|Win-Stay Lose-Shift|Soft Joss: 0.9|Anti Tit For Tat|Grudger|Alternator|Bully|Meta Mixer: 11 players|Suspicious Tit For Tat|GTFT: 0.33
95,3.98,-0.2,4.64,0.69,0.08,0.05,23,82,10,Soft Joss: 0.9|Cooperator|Win-Shift Lose-Stay: D|Meta Winner: 9 players|Tit For Tat|Bully|Anti Tit For Tat|Alternator|Cycler DC|Suspicious Tit For Tat
96,3.87,-0.62,5.63,1.44,0.02,0.1,69,128,12,Random: 0.5|Alternator|Bully|Tit For 2 Tats|Soft Joss: 0.9|Cooperator|Meta Winner: 10 players|Win-Stay Lose-Shift|Defector|Meta Mixer: 10 players|GTFT: 0.33|Cycler DC
97,3.76,-0.06,4.99,1.31,0.05,0.08,65,35,11,Grudger|Tit For 2 Tats|Meta Winner: 9 players|Anti Tit For Tat|Meta Mixer: 9 players|Alternator|Win-Stay Lose-Shift|Win-Shift Lose-Stay: D|Cooperator|Defector|Random: 0.5
98,2.77,0.1,4.58,0.9,0.08,0.06,88,31,7,Cooperator|Tit For 2 Tats|Grudger|GTFT: 0.33|Evolved FSM 16|Meta Mixer: 6 players|Bully
99,3.02,-0.91,4.4,1.0,0.01,0.03,70,133,17,Cycler DC|Evolved HMM 5|Meta Winner: 15 players|GTFT: 0.33|Meta Mixer: 15 players|Bully|Suspicious Tit For Tat|Win-Stay Lose-Shift|Grudger|Evolved FSM 16|Tit For 2 Tats|Defector|Tit For Tat|Win-Shift Lose-Stay: D|Random: 0.5|Soft Joss: 0.9|Cooperator
100,3.59,0.38,5.17,1.45,0.0,0.05,93,199,10,"Anti Tit For Tat|Meta Mixer: 9 players|Random: 0.5|Defector|Tit For 2 Tats|Bully|DoubleCrosser: (D, D)|GTFT: 0.33|Cooperator|Alternator"
101,3.4,-0.12,5.15,0.38,0.04,0.04,36,106,19,"Meta Winner: 17 players|Random: 0.5|Anti Tit For Tat|Cycler DC|Suspicious Tit For Tat|Win-Shift Lose-Stay: D|Defector|GTFT: 0.33|Tit For Tat|Soft Joss: 0.9|Meta Mixer: 17 players|DoubleCrosser: (D, D)|Bully|Cooperator|Evolved HMM 5|Grudger|Tit For 2 Tats|Win-Stay Lose-Shift|Evolved FSM 16"
102,3.95,-0.42,4.45,0.6,0.02,0.07,50,123,14,Evolved FSM 16|Win-Shift Lose-Stay: D|Win-Stay Lose-Shift|Cooperator|Tit For 2 Tats|Soft Joss: 0.9|Suspicious Tit For Tat|Defector|Bully|Cycler DC|Alternator|GTFT: 0.33|Anti Tit For Tat|Grudger
103,3.31,-0.57,5.85,1.49,0.08,0.03,81,179,11,Cycler DC|Cooperator|Tit For Tat|Evolved FSM 16|Anti Tit For Tat|GTFT: 0.33|Win-Shift Lose-Stay: D|Meta Mixer: 10 players|Soft Joss: 0.9|Tit For 2 Tats|Alternator
104,2.66,0.36,4.2,0.94,0.01,0.1,30,105,18,"Random: 0.5|Suspicious Tit For Tat|Win-Stay Lose-Shift|GTFT: 0.33|Evolved FSM 16|Evolved HMM 5|Alternator|Tit For 2 Tats|Anti Tit For Tat|Soft Joss: 0.9|Meta Winner: 16 players|Cooperator|DoubleCrosser: (D, D)|Grudger|Win-Shift Lose-Stay: D|Meta Mixer: 16 players|Tit For Tat|Cycler DC"
